frame,face_detected,label,confidence,p0,p1,p2,p3,p4,p5,p6,p7
90,1,0,0.785994,0.78599352,0.00894671,0.05597487,0.01876944,0.00253844,0.01507112,0.01191100,0.10079490
91,1,0,0.797123,0.79712321,0.00858561,0.05633610,0.01804232,0.00239847,0.01360454,0.01110586,0.09280389
92,1,0,0.774825,0.77482540,0.00879617,0.07420867,0.01935297,0.00258764,0.01385413,0.01245296,0.09392204
93,1,0,0.794943,0.79494312,0.00855526,0.06755515,0.01864496,0.00225679,0.01186921,0.01067105,0.08550445
94,1,0,0.805525,0.80552472,0.00797194,0.06794561,0.01752436,0.00215831,0.01061889,0.00971179,0.07854438
95,1,0,0.797246,0.79724609,0.00875716,0.06465071,0.01755003,0.00213228,0.01051807,0.00952609,0.08961957
96,1,0,0.773819,0.77381900,0.00918900,0.07892755,0.01775830,0.00217098,0.01108303,0.01021938,0.09683276
97,1,0,0.782769,0.78276948,0.00851471,0.07434568,0.01723569,0.00216995,0.01035193,0.00981775,0.09479481
98,1,0,0.753896,0.75389569,0.00961846,0.08564861,0.01969909,0.00254839,0.01252694,0.01007570,0.10598711
99,1,0,0.733267,0.73326741,0.00935638,0.10589161,0.01871211,0.00272544,0.01489827,0.01192994,0.10321885
100,1,0,0.740421,0.74042090,0.00921802,0.09510762,0.01945127,0.00264230,0.01442614,0.01114803,0.10758572
101,1,0,0.736313,0.73631260,0.01026483,0.08346540,0.01857470,0.00240898,0.01386871,0.00970126,0.12540352
102,1,0,0.698170,0.69816983,0.00995394,0.10949494,0.01625459,0.00237081,0.01362990,0.01015321,0.13997278
103,1,0,0.699729,0.69972874,0.00966790,0.11581357,0.01581974,0.00249390,0.01270563,0.01019439,0.13357613
104,1,0,0.707286,0.70728633,0.00893428,0.11611986,0.01586411,0.00241614,0.01174181,0.00943655,0.12820093
105,1,0,0.726736,0.72673560,0.00849285,0.10229885,0.01593397,0.00230729,0.01082400,0.00939672,0.12401072
106,1,0,0.745139,0.74513901,0.00762202,0.09702355,0.01471292,0.00212759,0.01003734,0.00859422,0.11474335
107,1,0,0.732799,0.73279877,0.00795373,0.10799908,0.01559139,0.00276094,0.01249660,0.01061342,0.10978607
108,1,0,0.728771,0.72877131,0.00800295,0.10436305,0.01502733,0.00278600,0.01617041,0.01315169,0.11172726
109,1,0,0.750865,0.75086528,0.00746999,0.09380636,0.01344129,0.00248957,0.01520985,0.01252175,0.10419592
110,1,0,0.770281,0.77028124,0.00649196,0.09035362,0.01160709,0.00212343,0.01386479,0.01188439,0.09339348
111,1,0,0.754675,0.75467483,0.00724229,0.09273441,0.01255370,0.00211754,0.02236523,0.01280227,0.09550974
112,1,0,0.746947,0.74694677,0.00720964,0.10642886,0.01185947,0.00209615,0.02052643,0.01219501,0.09273767
113,1,0,0.748353,0.74835304,0.00780021,0.11089493,0.01209130,0.00206593,0.01957323,0.01149783,0.08772352
114,1,0,0.767149,0.76714862,0.00685992,0.10594553,0.01087869,0.00189795,0.01741957,0.01035317,0.07949655
115,1,0,0.772288,0.77228798,0.00694002,0.10381696,0.01053319,0.00175281,0.01543943,0.00927792,0.07995168
116,1,0,0.737692,0.73769190,0.00969513,0.09433240,0.01409562,0.00220439,0.02007294,0.00993505,0.11197256
117,1,0,0.726673,0.72667326,0.01125900,0.09311777,0.01420018,0.00240460,0.02277240,0.00962646,0.11994633
118,1,0,0.726735,0.72673529,0.01329450,0.08459377,0.01510835,0.00254751,0.02164622,0.00970697,0.12636739
119,1,0,0.732553,0.73255297,0.01244301,0.07508229,0.01426772,0.00239335,0.01979771,0.00994021,0.13352274
120,1,0,0.720894,0.72089390,0.01326087,0.07707337,0.01712917,0.00267622,0.02224220,0.01005792,0.13666635
121,1,0,0.736255,0.73625518,0.01253538,0.07809322,0.01926184,0.00274383,0.02043490,0.00984202,0.12083362
122,1,0,0.727183,0.72718288,0.01254427,0.07451936,0.02236412,0.00316075,0.02593134,0.01155568,0.12274160
123,1,0,0.746919,0.74691901,0.01166573,0.06486703,0.02142705,0.00278199,0.02225291,0.01082271,0.11926356
124,1,0,0.738834,0.73883351,0.01269683,0.06274345,0.02035502,0.00270500,0.02385504,0.01126503,0.12754611
125,1,0,0.719601,0.71960060,0.01542146,0.07490491,0.01931688,0.00269247,0.02228965,0.01133364,0.13444040
126,1,0,0.720391,0.72039132,0.01435979,0.08102149,0.01734536,0.00259899,0.02021385,0.01139341,0.13267578
127,1,0,0.741821,0.74182130,0.01366212,0.07418645,0.01583565,0.00236370,0.01768127,0.01076553,0.12368398
128,1,0,0.758163,0.75816271,0.01273032,0.07222154,0.01618035,0.00222384,0.01561486,0.01031024,0.11255614
129,1,0,0.747156,0.74715640,0.01160667,0.09093133,0.01669409,0.00256016,0.01551415,0.01273900,0.10279820
130,1,0,0.742681,0.74268068,0.01268983,0.08447951,0.01657374,0.00240278,0.01470232,0.01174840,0.11472274
131,1,0,0.733270,0.73327030,0.01201915,0.09808513,0.01490196,0.00236499,0.01465568,0.01219674,0.11250604
132,1,0,0.754229,0.75422948,0.01074779,0.09107248,0.01354079,0.00211961,0.01318499,0.01089701,0.10420786
133,1,0,0.756243,0.75624255,0.00950921,0.10387368,0.01273689,0.00211389,0.01217979,0.01051763,0.09282637
134,1,0,0.746021,0.74602052,0.00853037,0.12256348,0.01270118,0.00235034,0.01305630,0.01111813,0.08365969
135,1,0,0.722548,0.72254804,0.00862090,0.14174526,0.01769377,0.00314024,0.01639613,0.01189981,0.07795586
136,1,0,0.707027,0.70702671,0.01099657,0.14842011,0.02434803,0.00362596,0.01924783,0.01213526,0.07419954
137,1,0,0.717243,0.71724265,0.00975550,0.15212147,0.02230010,0.00339655,0.01702767,0.01165242,0.06650364
138,1,0,0.739459,0.73945893,0.00931818,0.13413507,0.02093459,0.00309189,0.01495755,0.01060003,0.06750375
139,1,0,0.728540,0.72854034,0.00893237,0.14802262,0.01899614,0.00288642,0.01390007,0.01030804,0.06841400
140,1,0,0.737652,0.73765198,0.00912181,0.13387994,0.01672217,0.00251871,0.01213228,0.00939801,0.07857510
141,1,0,0.728339,0.72833915,0.00877035,0.15152516,0.01491248,0.00234414,0.01215770,0.00911368,0.07283735
142,1,0,0.731788,0.73178832,0.00857989,0.14824421,0.01571344,0.00247752,0.01218871,0.00947045,0.07153745
143,1,0,0.731753,0.73175319,0.00821355,0.15420386,0.01426291,0.00231665,0.01137895,0.00861593,0.06925495
144,1,0,0.704090,0.70409002,0.00782177,0.18757490,0.01283173,0.00236302,0.01111892,0.00893314,0.06526649
145,1,0,0.702897,0.70289680,0.00875714,0.17705802,0.01325640,0.00248386,0.01289313,0.01124950,0.07140515
146,1,0,0.677857,0.67785708,0.00874161,0.18174721,0.01215441,0.00248106,0.01479207,0.01317371,0.08905285
147,1,0,0.681877,0.68187653,0.00945185,0.16647800,0.01275795,0.00259586,0.01691577,0.01299438,0.09692966
148,1,0,0.685943,0.68594277,0.00905796,0.15616979,0.01243365,0.00260491,0.01559688,0.01233016,0.10586390
149,1,0,0.698288,0.69828795,0.00861534,0.15425718,0.01188095,0.00253513,0.01483278,0.01188788,0.09770278
150,1,0,0.694495,0.69449543,0.00913782,0.14766079,0.01149306,0.00242000,0.01500004,0.01208850,0.10770436
151,1,0,0.693304,0.69330376,0.00982157,0.13348637,0.01136137,0.00243874,0.01446569,0.01124134,0.12388117
152,1,0,0.709608,0.70960778,0.00934029,0.12583032,0.01209711,0.00269361,0.01370341,0.01241856,0.11430890
153,1,0,0.717344,0.71734354,0.00954671,0.10980597,0.01237597,0.00246393,0.01204974,0.01138444,0.12502969
154,1,0,0.701512,0.70151197,0.01003169,0.10234865,0.01159084,0.00228237,0.01266877,0.01121882,0.14834689
155,1,0,0.717483,0.71748347,0.00909107,0.10359885,0.01203637,0.00244188,0.01173882,0.01149692,0.13211263
156,1,0,0.701354,0.70135390,0.00867920,0.12182552,0.01175021,0.00253396,0.01242740,0.01506085,0.12636896
157,1,0,0.714491,0.71449148,0.00884763,0.11245647,0.01192049,0.00246728,0.01138402,0.01399687,0.12443576
158,1,0,0.596975,0.59697519,0.00796174,0.24107965,0.01105285,0.00303460,0.01708198,0.01769949,0.10511449
159,1,0,0.515638,0.51563766,0.00707528,0.34098092,0.01079084,0.00364908,0.01658037,0.01729287,0.08799298
160,1,0,0.471108,0.47110757,0.00697544,0.38430603,0.01012980,0.00354777,0.01904643,0.01966547,0.08522148
161,1,0,0.513774,0.51377363,0.00868501,0.33622790,0.01688495,0.00358668,0.01829732,0.01690963,0.08563487
162,1,0,0.548598,0.54859786,0.01184162,0.28482783,0.01976390,0.00357614,0.01706519,0.01459213,0.09973533
163,1,0,0.566053,0.56605286,0.01271358,0.25269271,0.01982970,0.00358079,0.01624587,0.01391379,0.11497070
164,1,0,0.600923,0.60092268,0.01144747,0.22102350,0.01809345,0.00328462,0.01506686,0.01365533,0.11650609
165,1,0,0.616577,0.61657654,0.01256740,0.19394496,0.02016761,0.00329858,0.01397100,0.01238656,0.12708735
166,1,0,0.621211,0.62121112,0.01298799,0.17293661,0.02171090,0.00331100,0.01518853,0.01184269,0.14081115
167,1,0,0.620110,0.62010986,0.01311731,0.17821625,0.02133929,0.00366288,0.01479407,0.01234148,0.13641886
168,1,0,0.613995,0.61399532,0.01424058,0.14854215,0.02108432,0.00326296,0.01401802,0.01093205,0.17392460
169,1,0,0.614658,0.61465755,0.01286969,0.16447510,0.02004858,0.00344591,0.01484095,0.01224936,0.15741286
170,1,0,0.645879,0.64587940,0.01143291,0.15510500,0.02081332,0.00343522,0.01375261,0.01281438,0.13676716
171,1,0,0.669330,0.66932986,0.01137524,0.13610839,0.02241284,0.00343886,0.01483908,0.01345328,0.12904246
172,1,0,0.689958,0.68995806,0.01097622,0.12501604,0.02315268,0.00354248,0.01407132,0.01271784,0.12056536
173,1,0,0.696406,0.69640601,0.01126979,0.11838304,0.02332268,0.00352093,0.01382803,0.01274565,0.12052386
174,1,0,0.698032,0.69803233,0.01324780,0.09758159,0.02330794,0.00318005,0.01325130,0.01157480,0.13982420
175,1,0,0.727635,0.72763488,0.01168171,0.08294567,0.02078995,0.00282064,0.01320072,0.01176766,0.12915875
176,1,0,0.746075,0.74607493,0.01034541,0.08413191,0.01999937,0.00282058,0.01422251,0.01273314,0.10967216
177,1,0,0.747018,0.74701752,0.00945271,0.09701953,0.02164131,0.00322409,0.01430339,0.01258937,0.09475208
178,1,0,0.740707,0.74070670,0.00931656,0.09541111,0.01955755,0.00311547,0.01516327,0.01345431,0.10327503
179,1,0,0.753428,0.75342837,0.00869200,0.09121643,0.01963411,0.00309569,0.01595659,0.01393093,0.09404587
180,1,0,0.754803,0.75480321,0.00865446,0.08829047,0.01749717,0.00286812,0.01600060,0.01289471,0.09899126
181,1,0,0.768279,0.76827850,0.00821627,0.08796571,0.02035835,0.00310831,0.01471180,0.01190353,0.08545752
182,1,0,0.778327,0.77832711,0.00851305,0.07990283,0.02372416,0.00291786,0.01366907,0.01075536,0.08219057
183,1,0,0.767424,0.76742398,0.00829887,0.09141479,0.02132511,0.00282233,0.01268048,0.01014498,0.08588946
184,1,0,0.794689,0.79468933,0.00706599,0.08145752,0.01785406,0.00238178,0.01060602,0.00891200,0.07703330
185,1,0,0.796224,0.79622393,0.00734636,0.08252113,0.01696773,0.00236735,0.01061548,0.00888454,0.07507348
186,1,0,0.783025,0.78302529,0.00767657,0.09484792,0.01673472,0.00260045,0.01164529,0.00892933,0.07454043
187,1,0,0.774173,0.77417274,0.00818803,0.09234063,0.01703953,0.00286180,0.01308151,0.00973561,0.08258015
188,1,0,0.745730,0.74572952,0.00938411,0.10877643,0.01845349,0.00336218,0.01513539,0.01023778,0.08892110
189,1,0,0.747350,0.74735008,0.00991421,0.10164186,0.01960154,0.00326902,0.01391687,0.00974577,0.09456066
190,1,0,0.736263,0.73626321,0.00942812,0.11438800,0.01801480,0.00318713,0.01370979,0.01078801,0.09422095
191,1,0,0.729502,0.72950233,0.00892227,0.13167689,0.01859560,0.00359499,0.01433696,0.01116413,0.08220684
192,1,0,0.723263,0.72326288,0.00843038,0.14306787,0.01984050,0.00397236,0.01477167,0.01143972,0.07521463
193,1,0,0.686888,0.68688801,0.00830292,0.17608506,0.02124611,0.00462438,0.01956781,0.01215888,0.07112682
194,1,0,0.714726,0.71472637,0.00913301,0.15183114,0.02187573,0.00415743,0.01837866,0.01068417,0.06921348
195,1,0,0.706276,0.70627563,0.00904107,0.15628824,0.02131859,0.00399724,0.01950735,0.01137289,0.07219898
196,1,0,0.689788,0.68978771,0.00839483,0.17683287,0.02083715,0.00431120,0.02112196,0.01228599,0.06642829
197,1,0,0.656273,0.65627333,0.00844903,0.19720311,0.01966535,0.00467158,0.02335831,0.01351985,0.07685945
198,1,0,0.672131,0.67213082,0.00803098,0.18746174,0.01897942,0.00440599,0.02158412,0.01255693,0.07484999
199,1,0,0.674355,0.67435533,0.00842768,0.17867030,0.02086760,0.00487971,0.02236842,0.01350356,0.07692740
200,1,0,0.687408,0.68740804,0.00952037,0.15835025,0.02211580,0.00474400,0.02218459,0.01315591,0.08252105
201,1,0,0.695710,0.69571023,0.00958279,0.14970826,0.02075957,0.00442738,0.02051795,0.01177320,0.08752062
202,1,0,0.709161,0.70916076,0.00990799,0.12753718,0.01868418,0.00387439,0.01830732,0.01054850,0.10197967
203,1,0,0.705638,0.70563794,0.00975074,0.12978111,0.02137051,0.00428012,0.01747415,0.01199178,0.09971365
204,1,0,0.727652,0.72765156,0.00955790,0.11271975,0.02175213,0.00382773,0.01514802,0.01074108,0.09860182
205,1,0,0.723307,0.72330711,0.00976205,0.10317658,0.01908186,0.00326647,0.01355080,0.00977631,0.11807881
206,1,0,0.698598,0.69859809,0.00930248,0.12480638,0.01976675,0.00343828,0.01409273,0.01252061,0.11747468
207,1,0,0.689704,0.68970424,0.00953822,0.12461339,0.02526778,0.00372417,0.01360677,0.01285457,0.12069086
208,1,0,0.692100,0.69209992,0.00971625,0.11652642,0.02940318,0.00383904,0.01369681,0.01318520,0.12153318
209,1,0,0.702799,0.70279861,0.00854631,0.12838471,0.02634213,0.00369153,0.01259686,0.01335914,0.10428071
210,1,0,0.686342,0.68634169,0.00779989,0.15601558,0.02436105,0.00376109,0.01278099,0.01365933,0.09528037
211,1,0,0.640300,0.64029958,0.00788130,0.19630741,0.02343774,0.00449629,0.01424227,0.01478753,0.09854788
212,1,0,0.579731,0.57973109,0.00902063,0.22899369,0.02718644,0.00597744,0.01864362,0.01582547,0.11462162
213,1,0,0.589397,0.58939719,0.00964969,0.20525485,0.02447409,0.00541948,0.01887416,0.01472572,0.13220481
214,1,0,0.607891,0.60789143,0.01022838,0.19191467,0.02418077,0.00519131,0.01938326,0.01361822,0.12759197
215,1,0,0.631564,0.63156429,0.00997424,0.16586351,0.02143568,0.00466685,0.01734758,0.01238520,0.13676265
216,1,0,0.644374,0.64437354,0.01119863,0.14426821,0.02062163,0.00432003,0.01701433,0.01157881,0.14662482
217,1,0,0.644978,0.64497787,0.01176584,0.13544880,0.01981895,0.00401197,0.01735776,0.01121021,0.15540859
218,1,0,0.642558,0.64255828,0.01101198,0.13943882,0.02020751,0.00388502,0.02116241,0.01227997,0.14945602
219,1,0,0.672141,0.67214056,0.01046164,0.12042339,0.02129206,0.00363346,0.01924031,0.01153170,0.14127688
220,1,0,0.662140,0.66213964,0.00975540,0.14107267,0.02359516,0.00435262,0.02031978,0.01404966,0.12471506
221,1,0,0.677038,0.67703848,0.00925192,0.12549792,0.02800288,0.00507497,0.01882934,0.01430850,0.12199598
222,1,0,0.678428,0.67842815,0.00883514,0.12771277,0.02616442,0.00501095,0.01744287,0.01510053,0.12130519
223,1,0,0.666341,0.66634102,0.00897340,0.12407821,0.02644237,0.00484620,0.01745621,0.01436908,0.13749352
224,1,0,0.670752,0.67075205,0.00921647,0.11781277,0.02675220,0.00489304,0.01777777,0.01549376,0.13730195
225,1,0,0.676171,0.67617133,0.00902687,0.12036860,0.02615725,0.00496025,0.01642672,0.01578699,0.13110200
226,1,0,0.689247,0.68924730,0.00819511,0.12031962,0.02313553,0.00450658,0.01507410,0.01592887,0.12359289
227,1,0,0.681574,0.68157352,0.00822747,0.11006171,0.02360920,0.00444102,0.01474881,0.01582325,0.14151502
228,1,0,0.658802,0.65880170,0.00898794,0.09626042,0.02074612,0.00383709,0.01384811,0.01483860,0.18268002
229,1,0,0.644279,0.64427905,0.01027553,0.09767966,0.01946794,0.00363685,0.01444478,0.01543934,0.19477684
230,1,0,0.672752,0.67275183,0.00952135,0.08728879,0.01769813,0.00331380,0.01329597,0.01429060,0.18183953
231,1,0,0.658970,0.65896994,0.01000236,0.08487916,0.01674457,0.00315576,0.01347011,0.01348538,0.19929273
232,1,0,0.665107,0.66510710,0.01263858,0.08771172,0.02190890,0.00354424,0.01516928,0.01328049,0.18063969
233,1,0,0.650497,0.65049733,0.01353300,0.09738515,0.02169636,0.00383675,0.01971172,0.01375707,0.17958262
234,1,0,0.638269,0.63826881,0.01426271,0.10522374,0.02151496,0.00407379,0.02342515,0.01418225,0.17904861
